count,bikeid,companylocationid,price
1,98,53,9.68
1,55,69,4.63
3,85,23,21.25
1,100,50,22.52
3,75,36,3.96
1,43,35,26.36
4,52,74,2.66
4,94,29,19.52
3,91,67,4.71
3,69,48,27.23
5,79,85,10.85
3,93,12,17.52
4,60,85,28.06
3,17,51,5.57
5,31,18,23.2
3,97,46,28.82
1,66,76,9.9
4,52,65,25.75
1,24,79,6.11
1,68,12,25.34
3,32,39,8.33
1,31,25,7.66
5,96,7,29.82
4,25,4,22.74
3,27,39,29.65
5,76,3,12.92
5,77,2,19.32
2,60,43,16.02
1,94,100,26.17
1,73,35,20.36
1,68,42,2.98
1,36,42,12.36
4,29,74,26.21
4,64,15,5.11
3,25,39,17.84
1,74,77,12.96
3,31,39,14.86
2,14,36,3.27
4,54,82,4.22
3,39,3,16.9
5,79,10,13.67
5,40,9,6.47
3,95,94,25.53
5,71,23,29.62
1,57,85,29.06
3,33,44,3.54
4,16,96,7.11
3,49,88,21.16
4,19,88,22.45
4,40,41,14.17
4,27,24,11.53
4,75,54,25.59
4,10,13,4.17
1,30,32,21.34
5,40,90,8.28
3,87,19,5.35
4,16,72,4.57
1,69,88,8.43
4,8,36,19.68
2,15,86,28.52
1,48,1,27.16
3,87,96,3.34
1,21,51,22.24
1,49,64,11.99
5,59,89,29.86
4,56,83,6.49
2,26,76,20.28
1,18,21,16.02
2,51,84,14.86
5,5,60,29.45
5,74,50,22.05
2,98,8,14.01
3,98,41,16.44
1,41,50,28.8
1,18,19,16.5
1,64,36,17.53
1,23,71,22.24
5,80,73,2.83
4,43,12,29.39
4,90,53,11.33
1,19,35,28.01
3,65,100,14.63
1,72,30,24.73
4,34,59,26.82
1,63,97,4.69
5,87,38,22.51
3,15,90,16.85
2,98,25,27.02
1,68,16,18.66
1,55,41,11.88
4,55,62,25.14
3,94,9,25.12
2,97,95,4.07
5,65,42,15.0
5,66,29,13.97
1,68,10,7.0
3,44,20,7.26
4,54,38,28.0
1,69,18,23.97
3,15,67,17.54
